GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mioProgetto,it.isa.progetto,App.ContestoStipendio,0,11,0,0,0,4,0,2,0,2
mioProgetto,it.isa.progetto,JFrameApp.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,App.cStipendioAmministratore,0,58,0,4,0,12,0,4,0,2
mioProgetto,it.isa.progetto,JFrameApp.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp,457,0,4,0,114,0,17,0,15,0
mioProgetto,it.isa.progetto,App.cStipendioStagista,0,40,0,4,0,10,0,4,0,2
mioProgetto,it.isa.progetto,JFrameApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,App,323,349,14,42,87,82,12,29,4,9
mioProgetto,it.isa.progetto,JFrameApp.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,JFrameApp.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mioProgetto,it.isa.progetto,App.cStipendioImpiegato,0,40,0,4,0,10,0,4,0,2
